distance id optim_v-1 optim_v-2 
16724.49 1 0.45 5e-04 
16879.18 2 0.4294628 0.0003872792 
16879.18 3 0.4711814 0.000225866 
16879.18 4 0.4463869 0.000225866 
16504.17 5 0.4463869 0.000687484 
16504.17 6 0.4463869 0.000687484 
16504.17 7 0.4463879 0.000687484 
16504.17 8 0.4463859 0.000687484 
16504.17 9 0.4463869 0.000688484 
16504.17 10 0.4463869 0.000686484 
16879.18 11 0.4616863 0.0003866533 
18363.48 12 0.4419073 0.0008927699 
16513.4 13 0.4496017 0.000686484 
17549.84 14 0.4463869 0.0009552356 
16879.18 15 0.455223 0.0003429035 
16152.69 16 0.456753 0.00079985 
16152.69 17 0.454549 0.00079985 
17612.64 18 0.454549 0.0007207001 
16152.69 19 0.456753 0.00079985 
16152.69 20 0.456754 0.00079985 
16152.69 21 0.456752 0.00079985 
16152.69 22 0.456753 0.00080085 
16152.69 23 0.456753 0.00079885 
16724.49 24 0.4688737 0.0005180294 
16524.91 25 0.4611452 0.0007686706 
18445.36 26 0.4231167 0.00079885 
20301.27 27 0.456753 0.0008987857 
16879.18 28 0.4353774 0.0002138967 
16879.18 29 0.4587826 0.0002673602 
17517.28 30 0.4311033 0.00079885 
16724.49 31 0.456753 0.0004921158 
16084.6 32 0.4531043 0.0006235222 
16879.18 33 0.4284081 0.0003621097 
16623.73 34 0.4255436 0.0006235222 
16879.18 35 0.4531043 0.0002066552 
16084.6 36 0.4531043 0.0006235222 
16084.6 37 0.4531053 0.0006235222 
16084.6 38 0.4531033 0.0006235222 
16084.6 39 0.4531043 0.0006245222 
16084.6 40 0.4531043 0.0006225222 
16879.18 41 0.460747 0.000343351 
15152.06 42 0.4675008 0.0009799007 
14831.64 43 0.4725386 0.0009799007 
16171.44 44 0.4725386 0.000543658 
14831.64 45 0.4725386 0.0009799007 
14831.64 46 0.4725396 0.0009799007 
14831.64 47 0.4725376 0.0009799007 
14707.17 48 0.4725386 0.0009809007 
14857.21 49 0.4725386 0.0009789007 
13466.1 50 0.4725386 0.001 
13466.1 51 0.4725396 0.001 
13466.1 52 0.4725376 0.001 
13466.1 53 0.4725386 0.001 
13671.47 54 0.4725386 0.000999 
16194.92 55 0.4797725 0.0008137206 
18276.57 56 0.4614925 0.0008359443 
14522.78 57 0.4450332 0.000999 
14468.04 58 0.4450332 0.0009854639 
16879.18 59 0.4319804 0.0002817551 
18432.79 60 0.4283685 0.000949358 
14874.84 61 0.4631042 0.0009854639 
16558.72 62 0.4450332 0.0007776063 
16199.9 63 0.4784814 0.0006113591 
16879.18 64 0.448655 0.000415502 
14541.69 65 0.4646919 0.0009854639 
16487.68 66 0.4450332 0.0004508028 
17803.97 67 0.4528054 0.0008177872 
16808.76 68 0.4410734 0.000467019 
14898.79 69 0.4623576 0.0009854639 
17845.4 70 0.4450332 0.0008145441 
19539.94 71 0.452688 0.0008465629 
15230.16 72 0.4665065 0.0009745382 
18049.45 73 0.432173 0.0009854639 
16879.18 74 0.4450332 0.00042345 
16879.18 75 0.4737678 0.0002855811 
18298.57 76 0.4512665 0.0008260388 
14898.79 77 0.4619708 0.0009854639 
17127.44 78 0.4450332 0.0007457117 
23452.69 79 0.4250228 0.0009456401 
16879.18 80 0.4244498 0.0002832423 
15012.93 81 0.4576496 0.0009854639 
17797.79 82 0.4450332 0.0008076223 
16142.45 83 0.4756606 0.0007391253 
19346.71 84 0.4349742 0.0009372117 
14874.84 85 0.463176 0.0009854639 
16879.18 86 0.4450332 0.0004287477 
16572.4 87 0.4344452 0.000694258 
16169.59 88 0.4409176 0.0005774688 
18818.61 89 0.4213926 0.0009854639 
16169.59 90 0.4450332 0.0005689013 
16805.56 91 0.4314525 0.0006659895 
16879.18 92 0.43063 0.0002885068 
14569.67 93 0.4545458 0.0009854639 
17062.46 94 0.4450332 0.0007221902 
17320.63 95 0.4519595 0.0009579029 
16879.18 96 0.4206454 0.0002711705 
14489.9 97 0.4779778 0.0009854639 
16854.58 98 0.4450332 0.000742609 
16879.18 99 0.4403722 0.0002705271 
16487.68 100 0.4648483 0.0004656043 
14239.49 101 0.436379 0.0009854639 
16808.76 102 0.436379 0.0004716662 
16724.49 103 0.4262286 0.0005808676 
17062.34 104 0.4203527 0.0007226848 
14544.16 105 0.4755285 0.0009854639 
16879.18 106 0.436379 0.000219528 
16808.76 107 0.4376998 0.0004724249 
16724.49 108 0.4401119 0.0004878409 
14391.3 109 0.4485277 0.0009854639 
16879.18 110 0.436379 0.0002990475 
16623.73 111 0.4652579 0.0006701854 
18102.08 112 0.4715834 0.0009090569 
15159.41 113 0.4414388 0.0009854639 
19488.36 114 0.436379 0.0008812648 
16879.18 115 0.4470621 0.0002560755 
18994.45 116 0.4739612 0.0009208777 
14504.82 117 0.4478755 0.0009854639 
16879.18 118 0.436379 0.0003061274 
18306.89 119 0.4254412 0.0007845903 
16879.18 120 0.4786553 0.0002008522 
14489.9 121 0.4782629 0.0009854639 
16925.84 122 0.436379 0.0007470379 
15958.87 123 0.4756356 0.0007083725 
18792.09 124 0.4243953 0.0009003634 
14023.11 125 0.4388143 0.0009854639 
16879.18 126 0.4388143 0.0003579076 
16724.49 127 0.4337198 0.0005229495 
16724.49 128 0.4232574 0.0005700248 
18818.61 129 0.4213442 0.0009854639 
16879.18 130 0.4388143 0.0003553208 
16879.18 131 0.4547379 0.0004455847 
16169.59 132 0.4716885 0.000605623 
14576.64 133 0.474277 0.0009854639 
16623.73 134 0.4388143 0.0006478442 
17376.03 135 0.4282809 0.0007973708 
16879.18 136 0.4678304 0.0003883945 
18312.85 137 0.4204974 0.0009854639 
20529.64 138 0.4388143 0.0008666936 
16808.76 139 0.4367889 0.000471223 
14518.64 140 0.4480512 0.0009902308 
14544.16 141 0.4754685 0.0009854639 
16879.18 142 0.4388143 0.0003776457 
16879.18 143 0.4597818 0.0002275834 
16879.18 144 0.4537139 0.000428466 
18653.89 145 0.4257617 0.0009854639 
16879.18 146 0.4388143 0.0002784281 
16879.18 147 0.4302905 0.0002622435 
16724.49 148 0.4408855 0.0004991734 
14050.62 149 0.4377221 0.0009854639 
18321.29 150 0.4388143 0.0009731904 
17002.18 151 0.461717 0.0007100975 
16879.18 152 0.4641027 0.0003973355 
14596.88 153 0.4542983 0.0009854639 
17190.25 154 0.4388143 0.0007613367 
19465.7 155 0.428802 0.0008701144 
14504 156 0.4487788 0.0009955434 
14714.77 157 0.4730756 0.0009854639 
18096.36 158 0.4388143 0.0008245556 
16808.76 159 0.43503 0.0004675635 
16879.18 160 0.4329822 0.0002186422 
19498.3 161 0.4240081 0.0009854639 
16879.18 162 0.4388143 0.0002667907 
16496.25 163 0.4654529 0.0007606711 
16152.69 164 0.4612472 0.0007952878 
14789.11 165 0.4444516 0.0009854639 
20634.34 166 0.4388143 0.0008600334 
16724.49 167 0.477551 0.0005258338 
16879.18 168 0.4436595 0.0002921362 
14769.56 169 0.4687954 0.0009854639 
16879.18 170 0.4388143 0.0004268995 
17909.33 171 0.4419168 0.0008099867 
16879.18 172 0.4440343 0.0003473292 
14480.52 173 0.4776619 0.0009854639 
16263.63 174 0.4388143 0.0004388302 
16169.59 175 0.4518 0.0006115441 
16879.18 176 0.44169 0.0002848456 
14504.02 177 0.4463278 0.0009854639 
16879.18 178 0.4388143 0.0003848897 
16169.59 179 0.445366 0.0005988039 
16169.59 180 0.4708516 0.0006094899 
19283.06 181 0.4251141 0.0009854639 
16110.19 182 0.4388143 0.0006094276 
14199.54 183 0.4573486 0.000986569 
16487.68 184 0.4393799 0.0004447795 
18490.91 185 0.4258967 0.0009854639 
16879.18 186 0.4388143 0.0003056542 
16169.59 187 0.459795 0.0006137097 
13621.84 188 0.4711743 0.0009983832 
13231.08 189 0.4739541 0.0009983832 
16034.47 190 0.4739541 0.0006524314 
13231.08 191 0.4739541 0.0009983832 
13231.08 192 0.4739551 0.0009983832 
13231.08 193 0.4739531 0.0009983832 
13231.08 194 0.4739541 0.0009993832 
13586.3 195 0.4739541 0.0009973832 
13220.15 196 0.4739541 0.001 
13220.15 197 0.4739551 0.001 
13220.15 198 0.4739531 0.001 
13220.15 199 0.4739541 0.001 
13231.08 200 0.4739541 0.000999 
18352.25 201 0.4349178 0.0008977398 
