distance id optim_v-1 optim_v-2 
104729.9 1 0.45 5e-04 
101643.2 2 0.4294628 0.0003872792 
102773.6 3 0.43866 0.0007622445 
104282.1 4 0.4263898 0.0003872792 
106686.1 5 0.4294628 0.0007822642 
97290.04 6 0.4294628 0.0003872792 
104866.5 7 0.4294638 0.0003872792 
98451.63 8 0.4294618 0.0003872792 
96148.99 9 0.4294628 0.0003882792 
100591.8 10 0.4294628 0.0003862792 
100578 11 0.42 0.001 
92971.79 12 0.420001 0.001 
104700.7 13 0.42 0.001 
96950.56 14 0.42 0.001 
99383.92 15 0.42 0.000999 
104576.3 16 0.4241847 0.0007290379 
99882.79 17 0.4241857 0.0007290379 
99807.59 18 0.4241837 0.0007290379 
100974.6 19 0.4241847 0.0007300379 
102043.5 20 0.4241847 0.0007280379 
96907.46 21 0.4277237 0.000499886 
101957.1 22 0.4277247 0.000499886 
101301.5 23 0.4277227 0.000499886 
104062.1 24 0.4277237 0.000500886 
103173.6 25 0.4277237 0.000498886 
104633.7 26 0.4289091 0.00042313 
109638.4 27 0.4289101 0.00042313 
91340.08 28 0.4289081 0.00042313 
101175.2 29 0.4289091 0.00042413 
101162.3 30 0.4289091 0.00042213 
100117.7 31 0.4293944 0.0003917057 
99734.96 32 0.4293954 0.0003917057 
105212.2 33 0.4293934 0.0003917057 
106111.5 34 0.4293944 0.0003927057 
102207.4 35 0.4293944 0.0003907057 
95059.1 36 0.4294306 0.0003893627 
111395.7 37 0.4294316 0.0003893627 
98928.48 38 0.4294296 0.0003893627 
103385.7 39 0.4294306 0.0003903627 
99605.31 40 0.4294306 0.0003883627 
102286.6 41 0.4294162 0.0003902961 
96424.9 42 0.4294172 0.0003902961 
99352.77 43 0.4294152 0.0003902961 
97719.67 44 0.4294162 0.0003912961 
100055.6 45 0.4294162 0.0003892961 
97339.69 46 0.429426 0.0003896596 
107707.9 47 0.429427 0.0003896596 
99870.49 48 0.429425 0.0003896596 
99310.12 49 0.429426 0.0003906596 
102883.9 50 0.429426 0.0003886596 
97397.95 51 0.4294296 0.0003894269 
104929.2 52 0.4294306 0.0003894269 
97851.42 53 0.4294286 0.0003894269 
104888.6 54 0.4294296 0.0003904269 
101935.8 55 0.4294296 0.0003884269 
94584.64 56 0.4294306 0.0003893627 
100059.7 57 0.4294316 0.0003893627 
92892.68 58 0.4294296 0.0003893627 
102973.9 59 0.4294306 0.0003903627 
98881.06 60 0.4294306 0.0003883627 
103614 61 0.42 2e-04 
105533.8 62 0.420001 2e-04 
100356.6 63 0.42 2e-04 
100848 64 0.42 0.000201 
105146.9 65 0.42 2e-04 
98822.04 66 0.4277154 0.0003549232 
100636 67 0.4277164 0.0003549232 
98092.95 68 0.4277144 0.0003549232 
94708.39 69 0.4277154 0.0003559232 
97543.67 70 0.4277154 0.0003539232 
100992.7 71 0.4289482 0.0003796773 
102842.2 72 0.4289492 0.0003796773 
98933.24 73 0.4289472 0.0003796773 
97138.12 74 0.4289482 0.0003806773 
101578 75 0.4289482 0.0003786773 
101663.5 76 0.4293067 0.0003868753 
98027.18 77 0.4293077 0.0003868753 
104298.3 78 0.4293057 0.0003868753 
100723.6 79 0.4293067 0.0003878753 
102550.4 80 0.4293067 0.0003858753 
98457.72 81 0.4293723 0.0003881931 
106944.3 82 0.4293733 0.0003881931 
98070.38 83 0.4293713 0.0003881931 
99630.59 84 0.4293723 0.0003891931 
95455.22 85 0.4293723 0.0003871931 
104815 86 0.4294196 0.0003891418 
102109.8 87 0.4294206 0.0003891418 
99866.26 88 0.4294186 0.0003891418 
106442.9 89 0.4294196 0.0003901418 
93630 90 0.4294196 0.0003881418 
94150.15 91 0.4294284 0.0003893198 
101414.1 92 0.4294294 0.0003893198 
100362.9 93 0.4294274 0.0003893198 
102820.8 94 0.4294284 0.0003903198 
106106.7 95 0.4294284 0.0003883198 
101151.3 96 0.4294273 0.0003899464 
99148.16 97 0.4294283 0.0003899464 
108398.3 98 0.4294263 0.0003899464 
104148.2 99 0.4294273 0.0003909464 
99643.66 100 0.4294273 0.0003889464 
96256.06 101 0.4294284 0.0003893493 
106063.1 102 0.4294294 0.0003893493 
99994.69 103 0.4294274 0.0003893493 
101882.3 104 0.4294284 0.0003903493 
107987.2 105 0.4294284 0.0003883493 
93464.08 106 0.4294284 0.00038932 
106975 107 0.4294294 0.00038932 
107832.7 108 0.4294274 0.00038932 
105058.6 109 0.4294284 0.00039032 
94693.93 110 0.4294284 0.00038832 
99759.27 111 0.4294284 0.0003893198 
104195.2 112 0.4294294 0.0003893198 
100869.3 113 0.4294274 0.0003893198 
103603 114 0.4294284 0.0003903198 
102132.5 115 0.4294284 0.0003883198 
107493.6 116 0.4294284 0.00038932 
103736.9 117 0.4294294 0.00038932 
105524.1 118 0.4294274 0.00038932 
98767.08 119 0.4294284 0.00039032 
106455.4 120 0.4294284 0.00038832 
97118.93 121 0.4294284 0.00038932 
101184.9 122 0.4294294 0.00038932 
100982 123 0.4294274 0.00038932 
106097.4 124 0.4294284 0.00039032 
99750.52 125 0.4294284 0.00038832 
98774.83 126 0.4312116 0.0008987317 
106071 127 0.4478884 0.0005898144 
98630.02 128 0.4354392 0.0008987317 
96964.91 129 0.4354392 0.0003674891 
105578.1 130 0.4354392 0.0003674891 
108109.6 131 0.4354402 0.0003674891 
102610.6 132 0.4354382 0.0003674891 
103752.4 133 0.4354392 0.0003684891 
100362 134 0.4354392 0.0003664891 
97568.59 135 0.42 2e-04 
102956.1 136 0.420001 2e-04 
94453.46 137 0.42 2e-04 
99307.86 138 0.42 0.000201 
96485.99 139 0.42 2e-04 
94083.3 140 0.4336804 0.0003484092 
95566.25 141 0.4336814 0.0003484092 
99120.97 142 0.4336794 0.0003484092 
93622.37 143 0.4336804 0.0003494092 
103122.1 144 0.4336804 0.0003474092 
100200.1 145 0.4339808 0.0006365597 
102519 146 0.4339818 0.0006365597 
103266.5 147 0.4339798 0.0006365597 
100449 148 0.4339808 0.0006375597 
102064.6 149 0.4339808 0.0006355597 
105115.5 150 0.4337714 0.0004356416 
100312.8 151 0.4337724 0.0004356416 
105589.3 152 0.4337704 0.0004356416 
104754.4 153 0.4337714 0.0004366416 
101307.3 154 0.4337714 0.0004346416 
98385.49 155 0.4337075 0.000374372 
98724.51 156 0.4337085 0.000374372 
105038.7 157 0.4337065 0.000374372 
104255.3 158 0.4337075 0.000375372 
101818.8 159 0.4337075 0.000373372 
100362.6 160 0.4336878 0.0003555023 
101588 161 0.4336888 0.0003555023 
103734.8 162 0.4336868 0.0003555023 
101515.1 163 0.4336878 0.0003565023 
100302 164 0.4336878 0.0003545023 
96615.22 165 0.4336823 0.0003502126 
96510.44 166 0.4336833 0.0003502126 
102179.7 167 0.4336813 0.0003502126 
98249.78 168 0.4336823 0.0003512126 
106083.5 169 0.4336823 0.0003492126 
103550.2 170 0.4336807 0.0003487022 
