distance id optim_v-1 optim_v-2 
16879.39 1 0.55 8e-04 
16879.39 2 0.5094628 0.001087258 
16879.39 3 0.5106442 0.0006131215 
16879.39 4 0.5658497 0.0006131215 
16879.39 5 0.5658497 0.0006747473 
16879.39 6 0.55 8e-04 
16879.39 7 0.550001 8e-04 
16879.39 8 0.549999 8e-04 
16879.39 9 0.55 0.000801 
16879.39 10 0.55 0.000799 
16878.56 11 0.528753 0.0003274198 
16879.39 12 0.5642734 0.0009337257 
16879.39 13 0.5874882 0.0009337257 
16879.39 14 0.5874882 0.0006024953 
16878.56 15 0.528753 0.0003274198 
16878.56 16 0.528754 0.0003274198 
16878.56 17 0.528752 0.0003274198 
16878.56 18 0.528753 0.0003284198 
16878.56 19 0.528753 0.0003264198 
16879.39 20 0.5375891 0.0005828237 
16879.39 21 0.5279551 0.0004961978 
16879.39 22 0.540819 0.0004961978 
16804.96 23 0.540819 0.0002838372 
16804.96 24 0.540819 0.0002838372 
16804.96 25 0.54082 0.0002838372 
16804.96 26 0.540818 0.0002838372 
16804.96 27 0.540819 0.0002848372 
16804.96 28 0.540819 0.0002828372 
16879.39 29 0.5929398 0.000602009 
16879.39 30 0.5252112 0.0004526509 
16804.96 31 0.5671828 0.0002828372 
16879.39 32 0.5671828 0.0009827709 
16878.56 33 0.5658073 0.0002978818 
16879.39 34 0.5892124 0.0009513443 
16804.96 35 0.5415332 0.0002828372 
16879.39 36 0.5415332 0.000776104 
16879.39 37 0.5778844 0.0005074983 
16879.39 38 0.5325563 0.001195688 
16673.62 39 0.5235828 0.0002828372 
16673.62 40 0.5235828 0.0002512749 
16673.62 41 0.5235828 0.0002828372 
16673.62 42 0.5235838 0.0002828372 
16673.62 43 0.5235818 0.0002828372 
16673.62 44 0.5235828 0.0002838372 
16673.62 45 0.5235828 0.0002818372 
16879.39 46 0.5546652 0.0008392226 
16879.39 47 0.5279466 0.0008400476 
16804.96 48 0.5603872 0.0002818372 
16879.39 49 0.5235828 0.0005384415 
16879.39 50 0.5710303 0.001126153 
16879.39 51 0.5378961 0.000959243 
16878.56 52 0.5716726 0.0002818372 
16673.62 53 0.5235828 0.0002380425 
16879.39 54 0.5756001 0.0003952777 
16804.96 55 0.5676163 0.0002525581 
16673.62 56 0.5315885 0.0002380425 
16879.39 57 0.5315885 0.0007990843 
16879.39 58 0.5793006 0.0005467137 
16879.39 59 0.5899545 0.0007471911 
16804.96 60 0.5847802 0.0002380425 
16673.62 61 0.5315885 0.0002641875 
16879.39 62 0.5066176 0.0004140591 
16879.39 63 0.5232463 0.0008752568 
16878.56 64 0.5999655 0.0002641875 
16879.39 65 0.5315885 0.0006892192 
16879.39 66 0.5614265 0.0007851964 
16879.39 67 0.590621 0.0007547237 
16673.62 68 0.5242291 0.0002641875 
16879.39 69 0.5242291 0.000486721 
16879.39 70 0.5399894 0.0009074082 
16879.39 71 0.5354375 0.0003481744 
16804.96 72 0.5549026 0.0002641875 
16879.39 73 0.5242291 0.000935862 
16879.39 74 0.589092 0.0006728995 
16879.39 75 0.5269522 0.001022578 
16804.96 76 0.5666796 0.0002641875 
16879.39 77 0.5242291 0.0007259643 
16804.96 78 0.5258685 0.0003235174 
16879.39 79 0.5534616 0.001123604 
16804.96 80 0.5789991 0.0002641875 
16879.39 81 0.5242291 0.0009521527 
16804.96 82 0.539643 0.0003020397 
16879.39 83 0.5449239 0.001162332 
16804.96 84 0.5639658 0.0002641875 
16672.26 85 0.5242291 0.0002272743 
16672.26 86 0.5242291 0.0002272743 
16672.26 87 0.5242301 0.0002272743 
16672.26 88 0.5242281 0.0002272743 
16672.26 89 0.5242291 0.0002282743 
16672.26 90 0.5242291 0.0002262743 
16673.62 91 0.5354016 0.0002287403 
16673.62 92 0.5906012 0.0002095108 
16668.2 93 0.5087321 0.0002262743 
16668.2 94 0.5087321 0.0002326864 
16668.2 95 0.5087321 0.0002262743 
16668.2 96 0.5087331 0.0002262743 
16668.2 97 0.5087311 0.0002262743 
16668.2 98 0.5087321 0.0002272743 
16668.2 99 0.5087321 0.0002252743 
16879.39 100 0.5830005 0.001129727 
16879.39 101 0.5000779 0.0009264017 
16673.62 102 0.5695805 0.0002252743 
16879.39 103 0.5087321 0.001016664 
16879.39 104 0.5019366 0.0004279487 
16879.39 105 0.5199662 0.0009457798 
