distance id optim_v-1 optim_v-2 
6216.558 1 20 20 
13031.33 3 18.75946 36.87829 
7740.754 4 33.10118 12.88053 
12995.61 5 39.45521 20 
3500.007 6 20 10.56606 
3500.007 7 20 10.56606 
3500.007 8 20 10.56606 
3500.006 9 20 10.56606 
3500.007 10 20 10.56606 
3500.006 11 20 10.56606 
276.6255 12 0 0 
266.1589 13 1e-06 0 
276.6255 14 0 0 
276.6254 15 0 1e-06 
276.6255 16 0 0 
3499.784 17 19.99935 10.56572 
3499.785 18 19.99935 10.56572 
3499.784 19 19.99935 10.56572 
3499.785 20 19.99935 10.56572 
3499.784 21 19.99935 10.56572 
977.5068 22 9.999674 5.282859 
977.5069 23 9.999675 5.282859 
977.5067 24 9.999673 5.282859 
977.5069 25 9.999674 5.28286 
977.5067 26 9.999674 5.282858 
212261073111 27 0.2636265 0 
212262683433 28 0.2636275 0 
212259462795 29 0.2636255 0 
1713.967 30 0.2636265 1e-06 
212261073111 31 0.2636265 0 
1631.231 32 6.754326 3.521906 
1631.231 33 6.754327 3.521906 
1631.231 34 6.754325 3.521906 
1631.231 35 6.754326 3.521907 
1631.231 36 6.754326 3.521905 
932.0993 37 9.725228 5.133942 
932.0994 38 9.725229 5.133942 
932.0992 39 9.725227 5.133942 
932.0994 40 9.725228 5.133943 
932.0992 41 9.725228 5.133941 
730.562 42 7.764432 4.069998 
730.5619 43 7.764433 4.069998 
730.5622 44 7.764431 4.069998 
730.5618 45 7.764432 4.069999 
730.5623 46 7.764432 4.069997 
807.0836 47 8.94257 4.709266 
807.0837 48 8.942571 4.709266 
807.0835 49 8.942569 4.709266 
807.0837 50 8.94257 4.709267 
807.0835 51 8.94257 4.709265 
704.0756 52 8.094465 4.249076 
704.0756 53 8.094466 4.249076 
704.0755 54 8.094464 4.249076 
704.0756 55 8.094465 4.249077 
704.0756 56 8.094465 4.249075 
782.8434 57 7.372834 4.168749 
782.8431 58 7.372835 4.168749 
782.8437 59 7.372833 4.168749 
782.843 60 7.372834 4.16875 
782.8438 61 7.372834 4.168748 
702.1344 62 7.981756 4.23653 
702.1344 63 7.981757 4.23653 
