"id" "distance" "file_name"
"1" 46 "calibration-1.trace"
"10" 52 "calibration-10.trace"
"100" 57 "calibration-100.trace"
"101" 74 "calibration-101.trace"
"102" 8 "calibration-102.trace"
"103" 2 "calibration-103.trace"
"104" 15 "calibration-104.trace"
"105" 57 "calibration-105.trace"
"106" 74 "calibration-106.trace"
"107" 8 "calibration-107.trace"
"108" 2 "calibration-108.trace"
"109" 15 "calibration-109.trace"
"11" 42 "calibration-11.trace"
"110" 57 "calibration-110.trace"
"111" 74 "calibration-111.trace"
"112" 8 "calibration-112.trace"
"113" 2 "calibration-113.trace"
"114" 15 "calibration-114.trace"
"115" 57 "calibration-115.trace"
"116" 74 "calibration-116.trace"
"117" 8 "calibration-117.trace"
"118" 2 "calibration-118.trace"
"119" 15 "calibration-119.trace"
"12" 29 "calibration-12.trace"
"120" 57 "calibration-120.trace"
"121" 74 "calibration-121.trace"
"122" 8 "calibration-122.trace"
"123" 2 "calibration-123.trace"
"124" 15 "calibration-124.trace"
"125" 57 "calibration-125.trace"
"126" 74 "calibration-126.trace"
"127" 8 "calibration-127.trace"
"128" 2 "calibration-128.trace"
"129" 15 "calibration-129.trace"
"13" 28 "calibration-13.trace"
"130" 57 "calibration-130.trace"
"131" 74 "calibration-131.trace"
"132" 8 "calibration-132.trace"
"133" 2 "calibration-133.trace"
"134" 15 "calibration-134.trace"
"135" 57 "calibration-135.trace"
"136" 74 "calibration-136.trace"
"137" 8 "calibration-137.trace"
"138" 2 "calibration-138.trace"
"139" 15 "calibration-139.trace"
"14" 29 "calibration-14.trace"
"140" 57 "calibration-140.trace"
"141" 74 "calibration-141.trace"
"142" 8 "calibration-142.trace"
"143" 2 "calibration-143.trace"
"144" 15 "calibration-144.trace"
"145" 57 "calibration-145.trace"
"146" 74 "calibration-146.trace"
"147" 44 "calibration-147.trace"
"15" 27 "calibration-15.trace"
"16" 29 "calibration-16.trace"
"17" 82 "calibration-17.trace"
"18" 83 "calibration-18.trace"
"19" 81 "calibration-19.trace"
"20" 43 "calibration-20.trace"
"21" 37 "calibration-21.trace"
"22" 31 "calibration-22.trace"
"23" 30 "calibration-23.trace"
"24" 32 "calibration-24.trace"
"25" 51 "calibration-25.trace"
"26" 79 "calibration-26.trace"
"27" 34 "calibration-27.trace"
"28" 33 "calibration-28.trace"
"29" 36 "calibration-29.trace"
"3" 35 "calibration-3.trace"
"30" 76 "calibration-30.trace"
"31" 55 "calibration-31.trace"
"32" 25 "calibration-32.trace"
"33" 80 "calibration-33.trace"
"34" 26 "calibration-34.trace"
"35" 75 "calibration-35.trace"
"36" 56 "calibration-36.trace"
"37" 40 "calibration-37.trace"
"38" 39 "calibration-38.trace"
"39" 41 "calibration-39.trace"
"4" 53 "calibration-4.trace"
"40" 64 "calibration-40.trace"
"41" 67 "calibration-41.trace"
"42" 8 "calibration-42.trace"
"43" 2 "calibration-43.trace"
"44" 15 "calibration-44.trace"
"45" 57 "calibration-45.trace"
"46" 74 "calibration-46.trace"
"47" 49 "calibration-47.trace"
"48" 50 "calibration-48.trace"
"49" 48 "calibration-49.trace"
"5" 38 "calibration-5.trace"
"50" 77 "calibration-50.trace"
"51" 54 "calibration-51.trace"
"52" 23 "calibration-52.trace"
"53" 22 "calibration-53.trace"
"54" 24 "calibration-54.trace"
"55" 65 "calibration-55.trace"
"56" 66 "calibration-56.trace"
"57" 14 "calibration-57.trace"
"58" 7 "calibration-58.trace"
"59" 21 "calibration-59.trace"
"6" 78 "calibration-6.trace"
"60" 63 "calibration-60.trace"
"61" 68 "calibration-61.trace"
"62" 13 "calibration-62.trace"
"63" 6 "calibration-63.trace"
"64" 20 "calibration-64.trace"
"65" 62 "calibration-65.trace"
"66" 69 "calibration-66.trace"
"67" 12 "calibration-67.trace"
"68" 5 "calibration-68.trace"
"69" 19 "calibration-69.trace"
"7" 46 "calibration-7.trace"
"70" 61 "calibration-70.trace"
"71" 70 "calibration-71.trace"
"72" 11 "calibration-72.trace"
"73" 4 "calibration-73.trace"
"74" 18 "calibration-74.trace"
"75" 60 "calibration-75.trace"
"76" 71 "calibration-76.trace"
"77" 10 "calibration-77.trace"
"78" 3 "calibration-78.trace"
"79" 17 "calibration-79.trace"
"8" 47 "calibration-8.trace"
"80" 59 "calibration-80.trace"
"81" 72 "calibration-81.trace"
"82" 9 "calibration-82.trace"
"83" 1 "calibration-83.trace"
"84" 16 "calibration-84.trace"
"85" 58 "calibration-85.trace"
"86" 73 "calibration-86.trace"
"87" 8 "calibration-87.trace"
"88" 2 "calibration-88.trace"
"89" 15 "calibration-89.trace"
"9" 45 "calibration-9.trace"
"90" 57 "calibration-90.trace"
"91" 74 "calibration-91.trace"
"92" 8 "calibration-92.trace"
"93" 2 "calibration-93.trace"
"94" 15 "calibration-94.trace"
"95" 57 "calibration-95.trace"
"96" 74 "calibration-96.trace"
"97" 8 "calibration-97.trace"
"98" 2 "calibration-98.trace"
"99" 15 "calibration-99.trace"
