"id" "distance" "file_name"
"1" 23 "SIR-sensitivity-1.trace"
"10" 49 "SIR-sensitivity-10.trace"
"100" 117 "SIR-sensitivity-100.trace"
"101" 81 "SIR-sensitivity-101.trace"
"102" 82 "SIR-sensitivity-102.trace"
"103" 155 "SIR-sensitivity-103.trace"
"104" 32 "SIR-sensitivity-104.trace"
"105" 115 "SIR-sensitivity-105.trace"
"106" 28 "SIR-sensitivity-106.trace"
"107" 36 "SIR-sensitivity-107.trace"
"108" 194 "SIR-sensitivity-108.trace"
"109" 157 "SIR-sensitivity-109.trace"
"11" 143 "SIR-sensitivity-11.trace"
"110" 180 "SIR-sensitivity-110.trace"
"111" 200 "SIR-sensitivity-111.trace"
"112" 188 "SIR-sensitivity-112.trace"
"113" 145 "SIR-sensitivity-113.trace"
"114" 142 "SIR-sensitivity-114.trace"
"115" 5 "SIR-sensitivity-115.trace"
"116" 182 "SIR-sensitivity-116.trace"
"117" 121 "SIR-sensitivity-117.trace"
"118" 111 "SIR-sensitivity-118.trace"
"119" 101 "SIR-sensitivity-119.trace"
"12" 86 "SIR-sensitivity-12.trace"
"120" 139 "SIR-sensitivity-120.trace"
"121" 17 "SIR-sensitivity-121.trace"
"122" 184 "SIR-sensitivity-122.trace"
"123" 14 "SIR-sensitivity-123.trace"
"124" 98 "SIR-sensitivity-124.trace"
"125" 150 "SIR-sensitivity-125.trace"
"126" 102 "SIR-sensitivity-126.trace"
"127" 76 "SIR-sensitivity-127.trace"
"128" 195 "SIR-sensitivity-128.trace"
"129" 99 "SIR-sensitivity-129.trace"
"13" 95 "SIR-sensitivity-13.trace"
"130" 181 "SIR-sensitivity-130.trace"
"131" 190 "SIR-sensitivity-131.trace"
"132" 34 "SIR-sensitivity-132.trace"
"133" 2 "SIR-sensitivity-133.trace"
"134" 170 "SIR-sensitivity-134.trace"
"135" 47 "SIR-sensitivity-135.trace"
"136" 135 "SIR-sensitivity-136.trace"
"137" 55 "SIR-sensitivity-137.trace"
"138" 12 "SIR-sensitivity-138.trace"
"139" 100 "SIR-sensitivity-139.trace"
