distance id optim_v-1 optim_v-2 
2648870 1 0.15 0.00015 
15101586 3 0.1094628 0.000137281 
34474488 4 0.1511814 0.0001758676 
17957535 5 0.1052055 0.00015 
53521019 6 0.15 0.0001116155 
2648870 7 0.15 0.00015 
2648984 8 0.150001 0.00015 
2648756 9 0.149999 0.00015 
3276776 10 0.15 0.000151 
2090877 11 0.15 0.000149 
145180957 12 0.1 1e-04 
145178951 13 0.100001 1e-04 
145180957 14 0.1 1e-04 
139568072 15 0.1 0.000101 
145180957 16 0.1 1e-04 
92192.44 17 0.1441086 0.0001441086 
92214.88 18 0.1441096 0.0001441086 
92170.01 19 0.1441076 0.0001441086 
253175.5 20 0.1441086 0.0001451086 
17129.72 21 0.1441086 0.0001431086 
1456.785 22 0.1426518 0.0001426475 
1453.201 23 0.1426528 0.0001426475 
1460.384 24 0.1426508 0.0001426475 
31643.34 25 0.1426518 0.0001436475 
61121.95 26 0.1426518 0.0001416475 
15.66075 27 0.1428264 0.0001428149 
15.24971 28 0.1428274 0.0001428149 
16.08698 29 0.1428254 0.0001428149 
45512.72 30 0.1428264 0.0001438149 
43921.77 31 0.1428264 0.0001418149 
10.38294 32 0.1428283 0.0001428106 
9.988137 33 0.1428293 0.0001428106 
10.79294 34 0.1428273 0.0001428106 
45138.3 35 0.1428283 0.0001438106 
44297.03 36 0.1428283 0.0001418106 
2.552757 37 0.1428411 0.0001428044 
2.33315 38 0.1428421 0.0001428044 
2.787556 39 0.1428401 0.0001428044 
44615.79 40 0.1428411 0.0001438044 
44820.7 41 0.1428411 0.0001418044 
0.7552975 42 0.1428522 0.0001428038 
0.7026967 43 0.1428532 0.0001428038 
0.8230851 44 0.1428512 0.0001428038 
44594.89 45 0.1428522 0.0001438038 
44839.59 46 0.1428522 0.0001418038 
29.08579 47 0.1428584 0.0001428254 
29.19225 48 0.1428594 0.0001428254 
28.9945 49 0.1428574 0.0001428254 
46549.84 50 0.1428584 0.0001438254 
42883.25 51 0.1428584 0.0001418254 
0.9768939 52 0.1428524 0.0001428044 
0.929116 53 0.1428534 0.0001428044 
1.039858 54 0.1428514 0.0001428044 
44653.54 55 0.1428524 0.0001438044 
44779.63 56 0.1428524 0.0001418044 
0.7661883 57 0.1428522 0.0001428038 
0.7138466 58 0.1428532 0.0001428038 
0.8337169 59 0.1428512 0.0001428038 
44598.04 60 0.1428522 0.0001438038 
44836.37 61 0.1428522 0.0001418038 
0.7558936 62 0.1428522 0.0001428038 
0.7033071 63 0.1428532 0.0001428038 
0.823667 64 0.1428512 0.0001428038 
44595.06 65 0.1428522 0.0001438038 
44839.41 66 0.1428522 0.0001418038 
0.7553303 67 0.1428522 0.0001428038 
0.7027303 68 0.1428532 0.0001428038 
0.8231172 69 0.1428512 0.0001428038 
44594.9 70 0.1428522 0.0001438038 
44839.58 71 0.1428522 0.0001418038 
0.7552993 72 0.1428522 0.0001428038 
0.7026986 73 0.1428532 0.0001428038 
0.8230869 74 0.1428512 0.0001428038 
44594.89 75 0.1428522 0.0001438038 
44839.59 76 0.1428522 0.0001418038 
0.7552976 77 0.1428522 0.0001428038 
0.7026968 78 0.1428532 0.0001428038 
0.8230852 79 0.1428512 0.0001428038 
44594.89 80 0.1428522 0.0001438038 
44839.59 81 0.1428522 0.0001418038 
0.7552975 82 0.1428522 0.0001428038 
0.7026967 83 0.1428532 0.0001428038 
0.8230851 84 0.1428512 0.0001428038 
44594.89 85 0.1428522 0.0001438038 
44839.59 86 0.1428522 0.0001418038 
0.7552975 87 0.1428522 0.0001428038 
0.7026967 88 0.1428532 0.0001428038 
0.8230851 89 0.1428512 0.0001428038 
44594.89 90 0.1428522 0.0001438038 
44839.59 91 0.1428522 0.0001418038 
0.7552975 92 0.1428522 0.0001428038 
0.7026967 93 0.1428532 0.0001428038 
0.8230851 94 0.1428512 0.0001428038 
44594.89 95 0.1428522 0.0001438038 
44839.59 96 0.1428522 0.0001418038 
0.7552975 97 0.1428522 0.0001428038 
0.7026967 98 0.1428532 0.0001428038 
0.8230851 99 0.1428512 0.0001428038 
44594.89 100 0.1428522 0.0001438038 
44839.59 101 0.1428522 0.0001418038 
0.7552975 102 0.1428522 0.0001428038 
0.7026967 103 0.1428532 0.0001428038 
0.8230851 104 0.1428512 0.0001428038 
44594.89 105 0.1428522 0.0001438038 
44839.59 106 0.1428522 0.0001418038 
0.7552975 107 0.1428522 0.0001428038 
0.7026967 108 0.1428532 0.0001428038 
0.8230851 109 0.1428512 0.0001428038 
44594.89 110 0.1428522 0.0001438038 
44839.59 111 0.1428522 0.0001418038 
0.7552975 112 0.1428522 0.0001428038 
0.7026967 113 0.1428532 0.0001428038 
0.8230851 114 0.1428512 0.0001428038 
44594.89 115 0.1428522 0.0001438038 
44839.59 116 0.1428522 0.0001418038 
0.7552975 117 0.1428522 0.0001428038 
0.7026967 118 0.1428532 0.0001428038 
0.8230851 119 0.1428512 0.0001428038 
44594.89 120 0.1428522 0.0001438038 
44839.59 121 0.1428522 0.0001418038 
0.7552975 122 0.1428522 0.0001428038 
0.7026967 123 0.1428532 0.0001428038 
0.8230851 124 0.1428512 0.0001428038 
44594.89 125 0.1428522 0.0001438038 
44839.59 126 0.1428522 0.0001418038 
0.7552975 127 0.1428522 0.0001428038 
0.7026967 128 0.1428532 0.0001428038 
0.8230851 129 0.1428512 0.0001428038 
44594.89 130 0.1428522 0.0001438038 
44839.59 131 0.1428522 0.0001418038 
0.7552975 132 0.1428522 0.0001428038 
0.7026967 133 0.1428532 0.0001428038 
0.8230851 134 0.1428512 0.0001428038 
44594.89 135 0.1428522 0.0001438038 
44839.59 136 0.1428522 0.0001418038 
0.7552975 137 0.1428522 0.0001428038 
0.7026967 138 0.1428532 0.0001428038 
0.8230851 139 0.1428512 0.0001428038 
44594.89 140 0.1428522 0.0001438038 
44839.59 141 0.1428522 0.0001418038 
0.7552975 142 0.1428522 0.0001428038 
0.7026967 143 0.1428532 0.0001428038 
0.8230851 144 0.1428512 0.0001428038 
44594.89 145 0.1428522 0.0001438038 
44839.59 146 0.1428522 0.0001418038 
26317249 147 0.1216053 0.0001702143 
